datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
11/1/2019 4:00:00 AM,11/1/2019 12:00:00 AM,RFC,MIDATL,AE,AECO,814.136,True
11/1/2019 4:00:00 AM,11/1/2019 12:00:00 AM,RFC,WEST,AEP,AEPAPT,3744.214,True
11/1/2019 4:00:00 AM,11/1/2019 12:00:00 AM,RFC,WEST,AEP,AEPIMP,2778.743,True
11/1/2019 4:00:00 AM,11/1/2019 12:00:00 AM,RFC,WEST,AEP,AEPKPT,648.446,True
11/1/2019 4:00:00 AM,11/1/2019 12:00:00 AM,RFC,WEST,AEP,AEPOPT,5756.816,True
11/1/2019 4:00:00 AM,11/1/2019 12:00:00 AM,RFC,WEST,AP,AP,4531.299,True
11/1/2019 4:00:00 AM,11/1/2019 12:00:00 AM,RFC,MIDATL,BC,BC,2443.459,True
11/1/2019 4:00:00 AM,11/1/2019 12:00:00 AM,RFC,WEST,CE,CE,10079.478,True
11/1/2019 4:00:00 AM,11/1/2019 12:00:00 AM,RFC,WEST,DAY,DAY,1770.000,False
11/1/2019 4:00:00 AM,11/1/2019 12:00:00 AM,RFC,WEST,DEOK,DEOK,2659.442,True
11/1/2019 4:00:00 AM,11/1/2019 12:00:00 AM,SERC,SOUTH,DOM,DOM,8513.026,True
11/1/2019 4:00:00 AM,11/1/2019 12:00:00 AM,RFC,MIDATL,DPL,DPLCO,1444.467,True
11/1/2019 4:00:00 AM,11/1/2019 12:00:00 AM,RFC,WEST,DUQ,DUQ,1216.308,True
11/1/2019 4:00:00 AM,11/1/2019 12:00:00 AM,RFC,MIDATL,DPL,EASTON,18.419,True
11/1/2019 4:00:00 AM,11/1/2019 12:00:00 AM,SERC,WEST,EKPC,EKPC,1560.956,True
11/1/2019 4:00:00 AM,11/1/2019 12:00:00 AM,RFC,MIDATL,JC,JC,1931.711,True
11/1/2019 4:00:00 AM,11/1/2019 12:00:00 AM,RFC,MIDATL,ME,ME,1336.838,True
11/1/2019 4:00:00 AM,11/1/2019 12:00:00 AM,RFC,WEST,ATSI,OE,5909.483,True
11/1/2019 4:00:00 AM,11/1/2019 12:00:00 AM,RFC,WEST,OVEC,OVEC,51.000,True
11/1/2019 4:00:00 AM,11/1/2019 12:00:00 AM,RFC,WEST,ATSI,PAPWR,485.415,True
11/1/2019 4:00:00 AM,11/1/2019 12:00:00 AM,RFC,MIDATL,PE,PE,3003.094,True
11/1/2019 4:00:00 AM,11/1/2019 12:00:00 AM,RFC,MIDATL,PEP,PEPCO,2078.094,True
11/1/2019 4:00:00 AM,11/1/2019 12:00:00 AM,RFC,MIDATL,PL,PLCO,3417.481,True
11/1/2019 4:00:00 AM,11/1/2019 12:00:00 AM,RFC,MIDATL,PN,PN,1580.977,True
11/1/2019 4:00:00 AM,11/1/2019 12:00:00 AM,RFC,MIDATL,PS,PS,3988.901,True
11/1/2019 4:00:00 AM,11/1/2019 12:00:00 AM,RFC,MIDATL,RECO,RECO,127.167,False
11/1/2019 4:00:00 AM,11/1/2019 12:00:00 AM,RFC,MIDATL,PEP,SMECO,245.003,True
11/1/2019 4:00:00 AM,11/1/2019 12:00:00 AM,RFC,MIDATL,PL,UGI,79.970,True
11/1/2019 4:00:00 AM,11/1/2019 12:00:00 AM,RFC,MIDATL,AE,VMEU,63.822,True
11/1/2019 4:00:00 AM,11/1/2019 12:00:00 AM,RTO,RTO,RTO,RTO,72278.165,False
11/1/2019 5:00:00 AM,11/1/2019 1:00:00 AM,RFC,MIDATL,AE,AECO,743.433,True
11/1/2019 5:00:00 AM,11/1/2019 1:00:00 AM,RFC,WEST,AEP,AEPAPT,3713.185,True
11/1/2019 5:00:00 AM,11/1/2019 1:00:00 AM,RFC,WEST,AEP,AEPIMP,2784.658,True
11/1/2019 5:00:00 AM,11/1/2019 1:00:00 AM,RFC,WEST,AEP,AEPKPT,639.854,True
11/1/2019 5:00:00 AM,11/1/2019 1:00:00 AM,RFC,WEST,AEP,AEPOPT,5625.942,True
