datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
11/17/2025 4:00:00 AM,11/16/2025 11:00:00 PM,RFC,WEST,AP,AP,5396.622,False
11/17/2025 4:00:00 AM,11/16/2025 11:00:00 PM,RFC,MIDATL,BC,BC,3009.306,False
11/17/2025 4:00:00 AM,11/16/2025 11:00:00 PM,RFC,WEST,CE,CE,9172.810,True
11/17/2025 4:00:00 AM,11/16/2025 11:00:00 PM,RFC,WEST,DAY,DAY,1730.747,False
11/17/2025 4:00:00 AM,11/16/2025 11:00:00 PM,RFC,WEST,DEOK,DEOK,2530.035,False
11/17/2025 4:00:00 AM,11/16/2025 11:00:00 PM,SERC,SOUTH,DOM,DOM,13222.255,False
11/17/2025 4:00:00 AM,11/16/2025 11:00:00 PM,RFC,MIDATL,DPL,DPLCO,1749.888,False
11/17/2025 4:00:00 AM,11/16/2025 11:00:00 PM,RFC,WEST,DUQ,DUQ,1260.644,False
11/17/2025 4:00:00 AM,11/16/2025 11:00:00 PM,RFC,MIDATL,DPL,EASTON,23.267,False
11/17/2025 4:00:00 AM,11/16/2025 11:00:00 PM,SERC,WEST,EKPC,EKPC,1530.314,False
11/17/2025 4:00:00 AM,11/16/2025 11:00:00 PM,RFC,MIDATL,JC,JC,2093.524,False
11/17/2025 4:00:00 AM,11/16/2025 11:00:00 PM,RFC,MIDATL,ME,ME,1485.261,False
11/17/2025 4:00:00 AM,11/16/2025 11:00:00 PM,RFC,WEST,ATSI,OE,6271.079,False
11/17/2025 4:00:00 AM,11/16/2025 11:00:00 PM,RFC,WEST,OVEC,OVEC,48.000,False
11/17/2025 4:00:00 AM,11/16/2025 11:00:00 PM,RFC,WEST,ATSI,PAPWR,506.523,False
11/17/2025 4:00:00 AM,11/16/2025 11:00:00 PM,RFC,MIDATL,PE,PE,3616.869,False
11/17/2025 4:00:00 AM,11/16/2025 11:00:00 PM,RFC,MIDATL,PEP,PEPCO,2261.234,False
11/17/2025 4:00:00 AM,11/16/2025 11:00:00 PM,RFC,MIDATL,PL,PLCO,4020.310,False
11/17/2025 4:00:00 AM,11/16/2025 11:00:00 PM,RFC,MIDATL,PN,PN,1716.952,False
11/17/2025 4:00:00 AM,11/16/2025 11:00:00 PM,RFC,MIDATL,PS,PS,4216.465,False
11/17/2025 4:00:00 AM,11/16/2025 11:00:00 PM,RFC,MIDATL,RECO,RECO,131.709,False
11/17/2025 4:00:00 AM,11/16/2025 11:00:00 PM,RFC,MIDATL,PEP,SMECO,351.001,False
11/17/2025 4:00:00 AM,11/16/2025 11:00:00 PM,RFC,MIDATL,PL,UGI,110.855,True
11/17/2025 4:00:00 AM,11/16/2025 11:00:00 PM,RFC,MIDATL,AE,VMEU,68.660,False
11/17/2025 4:00:00 AM,11/16/2025 11:00:00 PM,RTO,RTO,RTO,RTO,82510.412,False
